Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors
2.5 BHK Flat for Rent,"Tirumanahalli, Bangalore",Semi Furnished,1265,Family / Bachelor / Company,Available now,"42,006",2,1,795,Yes,Yes,3,24
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,"28,500",1,,600,Yes,Yes,5,7
2 BHK Flat for Rent,"Mahadevapura, Bangalore",Semi Furnished,1185,Family / Bachelor / Company,"Nov, 2025","38,000",2,1,850,No,No,3,4
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,1655,Family,Available now,"65,000",3,3,1304,No,Yes,26,30
1 RK Independent House for Rent,"Mahadevapura, Bangalore",Fully Furnished,400,Family / Bachelor,Available now,"18,000",1,1,,No,No,,
1 BHK Duplex for Rent,"Brookefield, Bangalore",Semi Furnished,700,Family / Bachelor,Available now,"32,000",1,1,650,No,No,1,6
1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,690,Family / Bachelor / Company,Available now,"18,000",1,1,600,No,Yes,3,4
4 BHK Penthouse for Rent,"Whitefield, Bangalore",Semi Furnished,4400,Family,Available now,"1,60,000",4,4,4000,No,Yes,18,18
4 BHK Independent House for Rent,"Cheemasandra, Bangalore",Unfurnished,4000,Family,"Jan, 2026","90,000",5,2,3900,No,Yes,1,4
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1350,,Available now,"50,000",3,,,No,No,,
1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"18,000",1,,500,No,No,3,4
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"18,000",1,,,No,No,5,6
2 BHK Flat for Rent,"Doddanekundi, Bangalore",Unfurnished,1250,Family / Bachelor / Company,Available now,"32,000",2,2,1249,No,Yes,4,5
2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,"22,999",2,1,550,No,No,2,5
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"38,000",1,1,,No,No,1,5
2 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,"40,000",2,1,900,No,Yes,1,5
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,Available now,"45,000",2,1,,Yes,Yes,13,26
1 BHK Flat for Rent,"Hebbal Kempapura, Byatarayanapura CMC And OG Part",Semi Furnished,600,Family / Bachelor,Available now,"17,000",1,,550,No,No,1,5
4 BHK Flat for Rent,"Nagavara, Bangalore",Semi Furnished,2980,Family / Company,Available now,"1,00,000",4,1,1890,No,Yes,12,34
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1300,Family,Available now,"37,100",3,1,1250,No,Yes,1,4
1 BHK Flat for Rent,"Uttarahalli -Manavarthekaval, Bangalore",Semi Furnished,584,Family / Bachelor / Company,Available now,"22,500",1,1,572,No,Yes,12,14
1 BHK Flat for Rent,"Kadugodi, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,"20,000",1,1,650,No,Yes,1,6
1 RK Studio for Rent,"BTM Layout, Bangalore",Fully Furnished,450,Family / Bachelor / Company,Available now,"15,000",1,,400,No,Yes,3,6
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1200,Family / Bachelor,"Oct, 2026","42,100",2,1,1100,Yes,Yes,3,6
4 BHK Flat for Rent,"Chokkanahalli, Bangalore",Semi Furnished,3000,Family / Bachelor,Available now,"85,000",4,3,,No,Yes,4,16
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"24,000",1,1,550,No,No,3,5
3 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,2400,Family / Bachelor,"Nov, 2025","80,000",3,1,2000,Yes,No,1,3
3 BHK Flat for Rent,"Whitefield, Bangalore",Fully Furnished,1500,Family / Bachelor,Available now,"65,000",2,2,,Yes,Yes,2,4
1.5 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,640,Family / Bachelor,"Dec, 2025","36,500",1,1,484,Yes,Yes,25,26
1 BHK Independent House for Rent,"Bettadasanapura, Bangalore",Semi Furnished,620,Family / Bachelor / Company,Available now,"15,100",1,1,600,No,No,,
1 BHK Flat for Rent,"Chinnapanna Halli, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"25,000",1,1,600,No,No,4,6
1 BHK Flat for Rent,"Chinnapanna Halli, Bangalore",Semi Furnished,700,Family,Available now,"30,000",1,2,650,No,No,3,6
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"22,000",1,1,600,No,No,4,6
1 BHK Flat for Rent,"Bellandur, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"26,000",1,1,600,No,No,5,5
