,Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
0,2.5 BHK Flat for Rent,"Tirumanahalli, Bangalore",Semi Furnished,1265,Family / Bachelor / Company,2025-11-25,42006,2,1.0,795.0,1,1,3.0,24.0,2.5,Flat,Tirumanahalli
1,1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,2025-11-25,28500,1,1.0,600.0,1,1,5.0,7.0,1.0,Flat,BTM Layout
2,2 BHK Flat for Rent,"Mahadevapura, Bangalore",Semi Furnished,1185,Family / Bachelor / Company,2025-11-01,38000,2,1.0,850.0,0,0,3.0,4.0,2.0,Flat,Mahadevapura
3,3 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,1655,Family,2025-11-25,65000,3,3.0,1304.0,0,1,26.0,30.0,3.0,Flat,Gunjur Village
4,1 RK Independent House for Rent,"Mahadevapura, Bangalore",Fully Furnished,400,Family / Bachelor,2025-11-25,18000,1,1.0,850.0,0,0,3.0,6.0,1.0,Independent House,Mahadevapura
5,1 BHK Duplex for Rent,"Brookefield, Bangalore",Semi Furnished,700,Family / Bachelor,2025-11-25,32000,1,1.0,650.0,0,0,1.0,6.0,1.0,Duplex,Brookefield
6,1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,690,Family / Bachelor / Company,2025-11-25,18000,1,1.0,600.0,0,1,3.0,4.0,1.0,Flat,Thanisandra
7,4 BHK Penthouse for Rent,"Whitefield, Bangalore",Semi Furnished,4400,Family,2025-11-25,160000,4,4.0,4000.0,0,1,18.0,18.0,4.0,Penthouse,Whitefield
8,4 BHK Independent House for Rent,"Cheemasandra, Bangalore",Unfurnished,4000,Family,2026-01-01,90000,5,2.0,3900.0,0,1,1.0,4.0,4.0,Independent House,Cheemasandra
9,3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1350,Family / Bachelor / Company,2025-11-25,50000,3,1.0,850.0,0,0,3.0,6.0,3.0,Flat,Narayanapura
10,1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,2025-11-25,18000,1,1.0,500.0,0,0,3.0,4.0,1.0,Independent Builder Floor,Muneshwara Nagar
11,1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,600,Family / Bachelor,2025-11-25,18000,1,1.0,850.0,0,0,5.0,6.0,1.0,Flat,Munnekollal
12,2 BHK Flat for Rent,"Doddanekundi, Bangalore",Unfurnished,1250,Family / Bachelor / Company,2025-11-25,32000,2,2.0,1249.0,0,1,4.0,5.0,2.0,Flat,Doddanekundi
13,2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,600,Family / Bachelor / Company,2025-11-25,22999,2,1.0,550.0,0,0,2.0,5.0,2.0,Independent Builder Floor,Bommanahalli
14,1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,2025-11-25,38000,1,1.0,850.0,0,0,1.0,5.0,1.0,Independent Builder Floor,HSR Layout
