Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
2.5 BHK Flat for Rent,"Tirumanahalli, Bangalore",Semi Furnished,1265,Family / Bachelor / Company,Available now,42006,2,1.0,795.0,Yes,Yes,3.0,24.0,2.5,Flat,Tirumanahalli
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,28500,1,1.0,600.0,Yes,Yes,5.0,7.0,1,Flat,BTM Layout
2 BHK Flat for Rent,"Mahadevapura, Bangalore",Semi Furnished,1185,Family / Bachelor / Company,"Nov, 2025",38000,2,1.0,850.0,No,No,3.0,4.0,2,Flat,Mahadevapura
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,1655,Family,Available now,65000,3,3.0,1304.0,No,Yes,26.0,30.0,3,Flat,Gunjur Village
1 RK Independent House for Rent,"Mahadevapura, Bangalore",Fully Furnished,400,Family / Bachelor,Available now,18000,1,1.0,850.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
1 BHK Duplex for Rent,"Brookefield, Bangalore",Semi Furnished,700,Family / Bachelor,Available now,32000,1,1.0,650.0,No,No,1.0,6.0,1,Duplex,Brookefield
1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,690,Family / Bachelor / Company,Available now,18000,1,1.0,600.0,No,Yes,3.0,4.0,1,Flat,Thanisandra
4 BHK Penthouse for Rent,"Whitefield, Bangalore",Semi Furnished,4400,Family,Available now,160000,4,4.0,4000.0,No,Yes,18.0,18.0,4,Penthouse,Whitefield
4 BHK Independent House for Rent,"Cheemasandra, Bangalore",Unfurnished,4000,Family,"Jan, 2026",90000,5,2.0,3900.0,No,Yes,1.0,4.0,4,Independent House,Cheemasandra
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1350,Family / Bachelor / Company,Available now,50000,3,1.0,850.0,No,No,3.0,6.0,3,Flat,Narayanapura
1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,18000,1,1.0,500.0,No,No,3.0,4.0,1,Independent Builder Floor,Muneshwara Nagar
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,18000,1,1.0,850.0,No,No,5.0,6.0,1,Flat,Munnekollal
2 BHK Flat for Rent,"Doddanekundi, Bangalore",Unfurnished,1250,Family / Bachelor / Company,Available now,32000,2,2.0,1249.0,No,Yes,4.0,5.0,2,Flat,Doddanekundi
2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,22999,2,1.0,550.0,No,No,2.0,5.0,2,Independent Builder Floor,Bommanahalli
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,38000,1,1.0,850.0,No,No,1.0,5.0,1,Independent Builder Floor,HSR Layout
2 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,40000,2,1.0,900.0,No,Yes,1.0,5.0,2,Flat,Gunjur Village
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,Available now,45000,2,1.0,850.0,Yes,Yes,13.0,26.0,2,Flat,Varthur
1 BHK Flat for Rent,"Hebbal Kempapura, Byatarayanapura CMC And OG Part",Semi Furnished,600,Family / Bachelor,Available now,17000,1,1.0,550.0,No,No,1.0,5.0,1,Flat,"Hebbal Kempapura, Byatarayanapura CMC And OG Part"
4 BHK Flat for Rent,"Nagavara, Bangalore",Semi Furnished,2980,Family / Company,Available now,100000,4,1.0,1890.0,No,Yes,12.0,34.0,4,Flat,Nagavara
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1300,Family,Available now,37100,3,1.0,1250.0,No,Yes,1.0,4.0,3,Flat,Narayanapura
